timestamp,ytrue,yhat,q10,q90
2019-12-13,14101.500150411266,15197.504,13404.062,17167.73
2019-12-14,16698.239770566277,15155.844,13176.376,17325.41
2019-12-15,17448.21810033284,15465.155,13385.618,17613.965
2019-12-16,17781.529226941944,17239.494,15124.032,19562.006
2019-12-17,15392.383891535825,17347.764,15360.3955,19576.072
2019-12-18,15087.884299705684,15923.301,13452.539,18517.7
2019-12-19,13127.056745953814,17349.441,14956.885,19949.164
2019-12-20,18121.06979683166,18298.908,16000.312,20746.492
2019-12-21,19866.230351520564,18485.863,16200.053,21137.445
2019-12-22,17407.96943826987,18551.465,16260.212,21024.947
2019-12-23,19031.82365761623,19773.404,17703.867,22140.033
2019-12-24,17712.32059862849,18989.477,16982.223,21405.14
2019-12-25,18719.66323232833,18740.496,16400.137,21479.86
2019-12-26,19811.554160886142,20244.719,17856.676,23066.957
2019-12-27,23228.9834676048,22757.562,20270.742,25595.898
2019-12-28,23255.0959388312,23172.059,20647.754,25794.11
2019-12-29,25634.235968439807,23966.09,21443.844,26813.86
2019-12-30,26640.47360585313,25514.488,23028.297,28384.16
2019-12-31,27481.266845381087,25560.555,23611.395,28071.176
